Name,NetWorth,Country,Source,Rank
Jeff Bezos,177000000000,United States,Amazon,1
Elon Musk,151000000000,United States,"Tesla, SpaceX",2
Bernard Arnault & family,150000000000,France,LVMH,3
Bill Gates,124000000000,United States,Microsoft,4
Mark Zuckerberg,97000000000,United States,Facebook,5
Warren Buffett,96000000000,United States,Berkshire Hathaway,6
Larry Ellison,93000000000,United States,software,7
Larry Page,91500000000,United States,Google,8
Sergey Brin,89000000000,United States,Google,9
Mukesh Ambani,84500000000,India,diversified,10
Amancio Ortega,77000000000,Spain,Zara,11
Francoise Bettencourt Meyers & family,73600000000,France,L'Oréal,12
Zhong Shanshan,68900000000,China,"beverages, pharmaceuticals",13
Steve Ballmer,68700000000,United States,Microsoft,14
Ma Huateng,65800000000,China,internet media,15
Carlos Slim Helu & family,62800000000,Mexico,telecom,16
Alice Walton,61800000000,United States,Walmart,17
Jim Walton,60200000000,United States,Walmart,18
Rob Walton,59500000000,United States,Walmart,19
Michael Bloomberg,59000000000,United States,Bloomberg LP,20
Colin Zheng Huang,55300000000,China,e-commerce,21
MacKenzie Scott,53000000000,United States,Amazon,22
Daniel Gilbert,51900000000,United States,Quicken Loans,23
Gautam Adani & family,50500000000,India,"infrastructure, commodities",24
Phil Knight & family,49900000000,United States,Nike,25
Jack Ma,48400000000,China,e-commerce,26
Charles Koch,46400000000,United States,Koch Industries,27
Julia Koch & family,46400000000,United States,Koch Industries,27
Masayoshi Son,45400000000,Japan,"internet, telecom",29
Michael Dell,45100000000,United States,Dell computers,30
Tadashi Yanai & family,44100000000,Japan,fashion retail,31
François Pinault & family,42300000000,France,luxury goods,32
David Thomson & family,41800000000,Canada,media,33
Beate Heister & Karl Albrecht Jr.,39200000000,Germany,supermarkets,34
Wang Wei,39000000000,China,package delivery,35
Miriam Adelson,38200000000,United States,casinos,36
He Xiangjian,37700000000,China,home appliances,37
Dieter Schwarz,36900000000,Germany,retail,38
Zhang Yiming,35600000000,China,TikTok,39
Giovanni Ferrero,35100000000,Italy,"Nutella, chocolates",40
Alain Wertheimer,34500000000,France,Chanel,41
Gerard Wertheimer,34500000000,France,Chanel,41
Li Ka-shing,33700000000,Hong Kong,diversified,43
Qin Yinglin & family,33500000000,China,pig breeding,44
William Lei Ding,33000000000,China,online games,45
Len Blavatnik,32000000000,United States,"music, chemicals",46
Lee Shau Kee,31700000000,Hong Kong,real estate,47
Jacqueline Mars,31300000000,United States,"candy, pet food",48
John Mars,31300000000,United States,"candy, pet food",48
Yang Huiyan & family,29600000000,China,real estate,50
Alexey Mordashov & family,29100000000,Russia,"steel, investments",51
Robin Zeng,28400000000,Hong Kong,batteries,52
Hui Ka Yan,27700000000,China,real estate,53
Susanne Klatten,27700000000,Germany,"BMW, pharmaceuticals",53
Vladimir Potanin,27000000000,Russia,metals,55
Dietrich Mateschitz,26900000000,Austria,Red Bull,56
Pang Kang,26400000000,China,soy sauce,57
Klaus-Michael Kuehne,26300000000,Germany,shipping,58
Vladimir Lisin,26200000000,Russia,"steel, transport",59
Wang Xing,26100000000,China,e-commerce,60
German Larrea Mota Velasco & family,25900000000,Mexico,mining,61
Leonardo Del Vecchio & family,25800000000,Italy,eyeglasses,62
Takemitsu Takizaki,25800000000,Japan,sensors,62
Leonard Lauder,25500000000,United States,Estee Lauder,64
Thomas Peterffy,25000000000,United States,discount brokerage,65
Vagit Alekperov,24900000000,Russia,oil,66
Leonid Mikhelson,24900000000,Russia,"gas, chemicals",66
Jim Simons,24600000000,United States,hedge funds,68
Jiang Rensheng & family,24400000000,China,vaccines,69
Gina Rinehart,23600000000,Australia,mining,70
Rupert Murdoch & family,23500000000,United States,"newspapers, TV network",71
Shiv Nadar,23500000000,India,software services,71
Zhang Zhidong,23400000000,China,internet media,73
Iris Fontbona & family,23300000000,Chile,mining,74
Lei Jun,23000000000,China,smartphones,75
Zhang Yong,23000000000,Singapore,restaurants,75
Richard Qiangdong Liu,22400000000,China,e-commerce,77
Gennady Timchenko,22000000000,Russia,"oil, gas",78
Stephen Schwarzman,21900000000,United States,investments,79
Goh Cheng Liang,21700000000,Singapore,paints,80
Stefan Quandt,21600000000,Germany,BMW,81
Li Xiting,21500000000,Singapore,medical devices,82
Pierre Omidyar,21400000000,United States,"eBay, PayPal",83
Stefan Persson,21300000000,Sweden,H&M,84
Abigail Johnson,20900000000,United States,money management,85
R. Budi Hartono,20500000000,Indonesia,"banking, tobacco",86
Andrew Forrest,20400000000,Australia,mining,87
Ray Dalio,20300000000,United States,hedge funds,88
Michael Hartono,19700000000,Indonesia,"banking, tobacco",89
Li Shufu,19700000000,China,automobiles,89
Zhong Huijuan,19700000000,China,pharmaceuticals,89
Xu Hang,19500000000,Hong Kong,medical devices,92
Lui Che Woo & family,19400000000,Hong Kong,casinos/hotels,93
Emmanuel Besnier,19100000000,France,cheese,94
Laurene Powell Jobs & family,19000000000,United States,"Apple, Disney",95
Eric Schmidt,18900000000,United States,Google,96
Sun Piaoyang,18900000000,China,pharmaceuticals,96
"Theo Albrecht, Jr. & family",18800000000,Germany,"Aldi, Trader Joe's",98
Alisher Usmanov,18400000000,Russia,"steel, telecom, investments",99
Robert Pera,18300000000,United States,wireless networking gear,100
Wu Yajun,18300000000,China,real estate,100
Fan Hongwei & family,18200000000,China,petrochemicals,102
Dhanin Chearavanont,18100000000,Thailand,diversified,103
Peter Woo,18000000000,Hong Kong,real estate,104
Chen Bang,17900000000,China,hospitals,105
Andrey Melnichenko,17900000000,Russia,"coal, fertilizers",105
Dustin Moskovitz,17800000000,United States,Facebook,107
Su Hua,17800000000,China,video streaming,107
Donald Newhouse,17600000000,United States,media,109
Petr Kellner,17500000000,Czechia,"finance, telecommunications",110
Lee Man Tat,17400000000,Hong Kong,food,111
Pavel Durov,17200000000,Russia,messaging app,112
James Ratcliffe,17000000000,United Kingdom,chemicals,113
Jorge Paulo Lemann & family,16900000000,Brazil,beer,114
Reinhold Wuerth & family,16800000000,Germany,fasteners,115
Charlene de Carvalho-Heineken & family,16700000000,Netherlands,Heineken,116
Radhakishan Damani,16500000000,India,"retail, investments",117
Wang Chuanfu,16300000000,China,"batteries, automobiles",118
Steve Cohen,16000000000,United States,hedge funds,119
Ken Griffin,16000000000,United States,hedge funds,119
Chen Zhiping,15900000000,China,e-cigarettes,121
"Ernest Garcia, II.",15900000000,United States,used cars,121
Uday Kotak,15900000000,India,banking,121
Carl Icahn,15800000000,United States,investments,124
Suleiman Kerimov & family,15800000000,Russia,investments,124
"Thomas Frist, Jr. & family",15700000000,United States,hospitals,126
Lukas Walton,15600000000,United States,Walmart,127
Mikhail Fridman,15500000000,Russia,"oil, banking, telecom",128
Wei Jianjun & family,15500000000,China,automobiles,128
Zuo Hui,15500000000,China,real estate services,128
Zhou Qunfei & family,15400000000,Hong Kong,smartphone screens,131
Donald Bren,15300000000,United States,real estate,132
Hinduja brothers,14900000000,United Kingdom,diversified,133
Lakshmi Mittal,14900000000,India,steel,133
Georg Schaeffler,14900000000,Germany,auto parts,133
Eric Yuan & family,14900000000,United States,video conferencing,133
Wang Jianlin,14800000000,China,real estate,137
Kwong Siu-hing,14700000000,Hong Kong,real estate,138
Robin Li,14700000000,China,internet search,138
Pallonji Mistry,14600000000,Ireland,construction,140
Eduardo Saverin,14600000000,Brazil,Facebook,140
Roman Abramovich,14500000000,Russia,"steel, investments",142
David Tepper,14500000000,United States,hedge funds,142
Gong Hongjia & family,14400000000,Hong Kong,video surveillance,144
Mike Cannon-Brookes,14200000000,Australia,software,145
"John Menard, Jr.",14200000000,United States,home improvement stores,145
Seo Jung-jin,14200000000,South Korea,biotech,145
Cheng Yixiao,14100000000,China,video streaming app,148
Liang Wengen,14100000000,China,construction equipment,148
Scott Farquhar,14000000000,Australia,software,150
Finn Rausing,13900000000,Sweden,packaging,151
Jorn Rausing,13900000000,Sweden,packaging,151
Kirsten Rausing,13900000000,Sweden,packaging,151
Brian Chesky,13700000000,United States,Airbnb,154
Joseph Lau,13600000000,Hong Kong,real estate,155
David Duffield,13500000000,United States,business software,156
Charoen Sirivadhanabhakdi,13500000000,Thailand,"alcohol, real estate",156
Kim Jung-ju,13300000000,South Korea,online games,158
Robert & Philip Ng,13300000000,Singapore,real estate,158
Zhang Bangxin,13300000000,China,education,158
Anders Holch Povlsen,13200000000,Denmark,fashion retail,161
Wang Wenyin,13200000000,China,"mining, copper products",161
Wang Liping & family,13100000000,China,hydraulic machinery,163
Tatyana Bakalchuk,13000000000,Russia,ecommerce,164
Michael Platt,13000000000,United Kingdom,hedge funds,164
Huang Shilin,12900000000,China,batteries,166
Ricardo Salinas Pliego & family,12900000000,Mexico,"retail, media",166
Kumar Birla,12800000000,India,commodities,168
Dang Yanbao,12700000000,China,coal,169
Cyrus Poonawalla,12700000000,India,vaccines,169
Robert Kuok,12600000000,Malaysia,"palm oil, shipping, property",171
Hank & Doug Meijer,12600000000,United States,supermarkets,171
Jack Dorsey,12500000000,United States,"Twitter, Square",173
Lu Zhongfang,12500000000,China,education,173
Ma Jianrong & family,12500000000,China,"textiles, apparel",173
Zhang Tao,12500000000,China,e-commerce,173
Nathan Blecharczyk,12400000000,United States,Airbnb,177
John Doerr,12400000000,United States,venture capital,177
Joe Gebbia,12400000000,United States,Airbnb,177
Forrest Li,12400000000,Singapore,gaming,177
Yu Renrong,12300000000,China,semiconductors,181
Liu Yonghao & family,12100000000,China,agribusiness,182
Gordon Moore,12100000000,United States,Intel,182
Jeff Yass,12000000000,United States,"trading, investments",184
Bobby Murphy,11900000000,United States,Snapchat,185
Patrick Drahi,11800000000,France,telecom,186
Jensen Huang,11800000000,United States,semiconductors,186
Alexander Otto,11800000000,Germany,real estate,186
Cen Junda,11600000000,China,pharmaceuticals,189
Joseph Tsai,11600000000,Canada,e-commerce,189
Aliko Dangote,11500000000,Nigeria,"cement, sugar",191
Marcel Herrmann Telles,11500000000,Brazil,beer,191
